Year;Month;Temp Sum;Temp Avg;Sun Sum;Sun Avg
2023;05;632;21;9190;306
2023;06;731;24;9627;321
2023;07;865;29;9756;325
2023;08;851;28;8631;288
2023;09;798;27;7218;241
2023;10;701;23;5378;179
2023;11;575;19;4058;135
2023;12;470;16;3365;112
2024;01;416;14;3347;112
2024;02;397;13;4775;159
2024;03;461;15;6550;218
2024;04;600;20;7846;262
2024;05;650;22;9053;302
2024;06;841;28;9932;331
2024;07;879;29;9464;315
2024;08;857;29;8758;292
2024;09;788;26;7108;237
2024;10;665;22;5694;190
2024;11;521;17;4130;138
